j0,j1,j2,j3,j4,j5,j6
0.990477,0.476721,0.261614,-2.37554,-0.377586,2.78779,0.814896
0.990476,0.476723,0.261617,-2.37554,-0.377584,2.78779,0.8149
0.990475,0.476719,0.26161,-2.37554,-0.377585,2.78779,0.814901
0.990475,0.476722,0.261609,-2.37554,-0.377587,2.78779,0.8149
0.990475,0.476722,0.261606,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476724,0.261611,-2.37554,-0.377587,2.78779,0.814902
0.990475,0.476721,0.261609,-2.37554,-0.377586,2.78779,0.814899
0.990478,0.476721,0.261606,-2.37554,-0.377588,2.78779,0.8149
0.990475,0.476722,0.261611,-2.37553,-0.377586,2.78779,0.814897
0.990478,0.476717,0.261609,-2.37554,-0.377587,2.78779,0.814898
0.990475,0.476719,0.261611,-2.37554,-0.377584,2.78779,0.814901
0.990478,0.476721,0.261608,-2.37554,-0.377586,2.78779,0.8149
0.99048,0.476721,0.261612,-2.37554,-0.377587,2.78779,0.8149
0.990481,0.476722,0.261607,-2.37554,-0.377582,2.78779,0.814895
0.990481,0.476722,0.261611,-2.37554,-0.377583,2.78779,0.814901
0.990476,0.476719,0.261617,-2.37554,-0.37758,2.78779,0.8149
0.99048,0.476716,0.261614,-2.37553,-0.377585,2.78779,0.814902
0.990481,0.476721,0.261617,-2.37554,-0.377586,2.78779,0.814898
0.990479,0.476724,0.26161,-2.37554,-0.377588,2.78779,0.814897
0.99048,0.476727,0.261614,-2.37554,-0.377587,2.78779,0.814897
0.990481,0.476724,0.261606,-2.37554,-0.377587,2.78779,0.814901
0.990478,0.476721,0.261609,-2.37554,-0.377586,2.78779,0.814901
0.990481,0.476721,0.261611,-2.37554,-0.377587,2.78778,0.814898
0.990473,0.476719,0.261609,-2.37554,-0.377587,2.78779,0.814897
0.990475,0.476719,0.261612,-2.37554,-0.377583,2.78779,0.814897
0.990476,0.476722,0.261609,-2.37554,-0.377587,2.78779,0.814897
0.990475,0.476719,0.261614,-2.37554,-0.377587,2.78779,0.814901
0.990475,0.476721,0.261612,-2.37554,-0.377587,2.78779,0.814901
0.990478,0.476719,0.261609,-2.37554,-0.377586,2.78779,0.814901
0.990477,0.476721,0.261609,-2.37554,-0.377587,2.78779,0.814897
0.990476,0.476724,0.26161,-2.37553,-0.377586,2.78779,0.814897
0.990478,0.476719,0.261608,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476719,0.261607,-2.37554,-0.377586,2.78779,0.814902
0.990481,0.476721,0.261608,-2.37554,-0.377588,2.78779,0.8149
0.990481,0.476724,0.261612,-2.37554,-0.377586,2.78779,0.814899
0.990478,0.476726,0.261612,-2.37553,-0.377586,2.78779,0.814898
0.990472,0.47672,0.261611,-2.37554,-0.377588,2.78779,0.814896
0.990475,0.476722,0.261612,-2.37554,-0.377586,2.78779,0.814902
0.990474,0.476719,0.261611,-2.37553,-0.377587,2.78779,0.8149
0.990481,0.476721,0.26161,-2.37553,-0.377586,2.78779,0.814901
0.990481,0.476719,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990476,0.476719,0.261606,-2.37554,-0.377586,2.78779,0.814897
0.990473,0.476721,0.261611,-2.37554,-0.377586,2.78779,0.8149
0.990472,0.476723,0.261607,-2.37554,-0.377587,2.78779,0.814902
0.99048,0.47672,0.261611,-2.37553,-0.377586,2.78779,0.8149
0.990481,0.476719,0.261606,-2.37554,-0.377587,2.78779,0.814899
0.990478,0.476716,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990475,0.476721,0.261609,-2.37553,-0.377586,2.78779,0.814897
0.990481,0.476716,0.261608,-2.37553,-0.377587,2.78779,0.814899
0.990475,0.476716,0.261609,-2.37554,-0.377586,2.78779,0.814901
0.990472,0.476719,0.261611,-2.37553,-0.377586,2.78779,0.814901
0.990478,0.476719,0.261612,-2.37553,-0.377586,2.78779,0.814901
0.99048,0.476719,0.261612,-2.37553,-0.377586,2.78779,0.814902
0.990476,0.476714,0.261614,-2.37554,-0.377586,2.78779,0.814898
0.990478,0.476721,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476724,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476722,0.261611,-2.37554,-0.377585,2.78779,0.8149
0.990472,0.476719,0.261609,-2.37554,-0.377585,2.78779,0.8149
0.99048,0.476721,0.261611,-2.37554,-0.377587,2.78779,0.814901
0.990476,0.476727,0.261612,-2.37553,-0.377587,2.78779,0.814898
0.990475,0.476719,0.261608,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476723,0.261604,-2.37554,-0.377586,2.78779,0.814899
0.990473,0.476722,0.261612,-2.37554,-0.377585,2.78779,0.814902
0.99047,0.476722,0.261608,-2.37554,-0.377587,2.78779,0.814901
0.990472,0.476724,0.261609,-2.37554,-0.377584,2.78779,0.814901
0.99048,0.476721,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990478,0.476721,0.261609,-2.37554,-0.37759,2.78779,0.814897
0.99047,0.476727,0.261606,-2.37554,-0.377584,2.78779,0.8149
0.990475,0.476721,0.261603,-2.37554,-0.377583,2.78779,0.8149
0.990475,0.476721,0.261609,-2.37554,-0.377587,2.78779,0.814902
0.990475,0.476721,0.261609,-2.37554,-0.377586,2.78779,0.814898
0.990472,0.476727,0.261609,-2.37554,-0.377586,2.78779,0.814902
0.99047,0.476724,0.261606,-2.37554,-0.377586,2.78779,0.814896
0.99048,0.476721,0.261606,-2.37553,-0.377588,2.78779,0.814902
0.990473,0.476719,0.261611,-2.37553,-0.377586,2.78779,0.814897
0.990471,0.476719,0.261607,-2.37554,-0.377586,2.78779,0.8149
0.990478,0.476721,0.261611,-2.37554,-0.377583,2.78779,0.814897
0.990473,0.476719,0.261603,-2.37554,-0.377585,2.78779,0.814895
0.990475,0.476719,0.261609,-2.37554,-0.377586,2.78779,0.814897
0.990472,0.476723,0.261609,-2.37554,-0.377588,2.78779,0.814895
0.990469,0.476722,0.261611,-2.37554,-0.377582,2.78779,0.814897
0.990476,0.476724,0.261608,-2.37554,-0.377584,2.78779,0.814899
0.990478,0.476719,0.261614,-2.37554,-0.377586,2.78779,0.814903
0.990478,0.476721,0.261611,-2.37554,-0.377586,2.78779,0.814899
0.990472,0.476722,0.261612,-2.37554,-0.377585,2.78779,0.814902
0.990471,0.476722,0.261612,-2.37554,-0.377586,2.78779,0.814895
0.990475,0.476722,0.261613,-2.37554,-0.377586,2.78779,0.814899
0.990472,0.476724,0.261607,-2.37554,-0.377587,2.78779,0.8149
0.990475,0.476719,0.261606,-2.37554,-0.377586,2.78779,0.814902
0.990474,0.476721,0.261611,-2.37554,-0.377586,2.78779,0.8149
0.990473,0.476721,0.261612,-2.37554,-0.377586,2.78779,0.814894
0.990475,0.476719,0.261604,-2.37554,-0.377583,2.78779,0.814896
0.990475,0.476723,0.261609,-2.37554,-0.377585,2.78779,0.814895
0.990478,0.476722,0.261611,-2.37553,-0.377583,2.78779,0.8149
0.990475,0.476719,0.261612,-2.37554,-0.377585,2.78779,0.814897
0.990475,0.476721,0.261612,-2.37554,-0.377585,2.78779,0.8149
0.990472,0.476718,0.261609,-2.37554,-0.377586,2.78779,0.814898
0.990475,0.47672,0.26161,-2.37554,-0.377586,2.78779,0.8149
0.990475,0.476722,0.261606,-2.37554,-0.377583,2.78779,0.814892
0.990475,0.476724,0.261604,-2.37554,-0.377585,2.78779,0.814896
0.990472,0.476721,0.261606,-2.37554,-0.377583,2.78779,0.814896
0.990474,0.476721,0.261608,-2.37554,-0.377586,2.78779,0.814902
0.990475,0.476721,0.261609,-2.37554,-0.377586,2.78779,0.8149
0.990471,0.476723,0.261614,-2.37554,-0.377587,2.78779,0.814897
0.990478,0.476722,0.26161,-2.37554,-0.377587,2.78779,0.814897
0.990475,0.476722,0.261606,-2.37554,-0.377587,2.78779,0.814899
0.990475,0.476726,0.261612,-2.37554,-0.377586,2.78779,0.814902
0.990475,0.47672,0.261604,-2.37554,-0.377587,2.78779,0.8149
0.990478,0.476722,0.261611,-2.37554,-0.377587,2.78779,0.814901
0.990472,0.476719,0.261612,-2.37554,-0.377587,2.78779,0.814893
0.990478,0.476724,0.261604,-2.37554,-0.377586,2.78779,0.814896
0.990475,0.476719,0.261604,-2.37554,-0.377586,2.78779,0.814898
0.990473,0.476714,0.261613,-2.37554,-0.377584,2.78779,0.8149
0.99047,0.476722,0.261607,-2.37554,-0.377586,2.78779,0.814901
0.990472,0.476719,0.261609,-2.37554,-0.377587,2.78779,0.814902
0.990475,0.476721,0.261606,-2.37554,-0.377586,2.78779,0.814902
0.990475,0.476719,0.261606,-2.37555,-0.377583,2.78779,0.814897
0.990478,0.476714,0.261611,-2.37555,-0.377582,2.78779,0.8149
0.990475,0.476724,0.261608,-2.37554,-0.377581,2.78779,0.814901
0.990472,0.476721,0.261607,-2.37555,-0.377583,2.78779,0.8149
0.990472,0.476721,0.261609,-2.37555,-0.377585,2.78779,0.814897
0.990477,0.476721,0.261606,-2.37555,-0.377585,2.78779,0.814897
0.990473,0.476721,0.261607,-2.37555,-0.377582,2.78779,0.814901
0.990478,0.476721,0.261606,-2.37555,-0.377585,2.78779,0.814902
0.990475,0.476723,0.261609,-2.37555,-0.377585,2.78779,0.814901
0.990475,0.476722,0.261611,-2.37555,-0.377583,2.78779,0.814901
0.990478,0.476717,0.261609,-2.37555,-0.377585,2.78779,0.814895
0.99047,0.476729,0.261606,-2.37555,-0.377585,2.78779,0.814898
0.990475,0.476722,0.261606,-2.37555,-0.377584,2.78779,0.814901
0.990475,0.476724,0.261606,-2.37555,-0.377584,2.78779,0.814902
0.990474,0.476725,0.261606,-2.37555,-0.377585,2.78779,0.8149
0.990476,0.476722,0.261609,-2.37555,-0.377586,2.78778,0.814897
0.990475,0.476719,0.261606,-2.37555,-0.377585,2.78778,0.814897
0.990477,0.476721,0.261607,-2.37555,-0.377585,2.78779,0.814897
0.990471,0.476721,0.261609,-2.37555,-0.377586,2.78779,0.814902
0.990473,0.47672,0.261609,-2.37555,-0.377584,2.78779,0.814901
0.990472,0.476724,0.261609,-2.37555,-0.377584,2.78779,0.814902
0.99048,0.476721,0.261613,-2.37556,-0.377584,2.78779,0.8149
0.990473,0.476721,0.261609,-2.37555,-0.377584,2.78779,0.814896
0.990475,0.476719,0.261609,-2.37555,-0.377584,2.78779,0.814897
0.990473,0.476719,0.261608,-2.37555,-0.377583,2.78779,0.814895
0.990483,0.476719,0.261607,-2.37555,-0.377586,2.78779,0.814899
0.990476,0.476718,0.261604,-2.37555,-0.377585,2.78779,0.814901
0.990475,0.47672,0.261609,-2.37555,-0.377586,2.78779,0.814899
0.99048,0.476717,0.261606,-2.37555,-0.377583,2.78779,0.814898
0.990478,0.476719,0.261608,-2.37555,-0.377585,2.78779,0.814899
0.990478,0.476716,0.261612,-2.37555,-0.377583,2.78779,0.814897
0.990483,0.476716,0.261614,-2.37555,-0.377583,2.78779,0.814902
0.990478,0.476716,0.261614,-2.37555,-0.377581,2.78779,0.814903
0.990481,0.476714,0.261614,-2.37554,-0.377582,2.78779,0.814904
0.990478,0.476716,0.261612,-2.37554,-0.377583,2.78778,0.814898
0.990485,0.476719,0.261614,-2.37554,-0.377584,2.78778,0.814899
0.990486,0.47672,0.261613,-2.37553,-0.377585,2.78778,0.814899
0.990486,0.476714,0.261615,-2.37553,-0.377584,2.78778,0.8149
0.990493,0.476719,0.261619,-2.37553,-0.37758,2.78778,0.814902
0.990497,0.476719,0.261619,-2.37552,-0.377582,2.78778,0.814902
0.990501,0.476721,0.261624,-2.37552,-0.377583,2.78778,0.814902
0.990507,0.47672,0.261627,-2.37551,-0.377581,2.78778,0.814903
0.990504,0.476721,0.261628,-2.37551,-0.377582,2.78778,0.8149
0.990512,0.476722,0.261627,-2.3755,-0.377578,2.78778,0.814896
0.990517,0.476724,0.26163,-2.3755,-0.37758,2.78779,0.814896
0.990518,0.476729,0.261632,-2.3755,-0.377579,2.78779,0.814899
