j0,j1,j2,j3,j4,j5,j6
0.775943,0.279496,0.429619,-2.34574,-0.171895,2.60815,0.63454
0.775946,0.279494,0.429615,-2.34574,-0.171895,2.60815,0.634534
0.775941,0.279498,0.429616,-2.34574,-0.171895,2.60815,0.634536
0.77594,0.279499,0.429618,-2.34574,-0.171891,2.60815,0.634541
0.775942,0.279499,0.42962,-2.34574,-0.171894,2.60815,0.634544
0.77594,0.279499,0.429618,-2.34574,-0.171895,2.60815,0.634535
0.775936,0.279499,0.429616,-2.34574,-0.171893,2.60815,0.634536
0.775938,0.279497,0.429616,-2.34574,-0.171894,2.60815,0.634539
0.775937,0.279498,0.429623,-2.34574,-0.171896,2.60815,0.63454
0.775935,0.279499,0.429619,-2.34574,-0.171895,2.60815,0.634533
0.775938,0.279501,0.429618,-2.34574,-0.171895,2.60815,0.63454
0.775945,0.279501,0.429617,-2.34574,-0.171894,2.60815,0.634538
0.775938,0.279501,0.429618,-2.34574,-0.171894,2.60815,0.634538
0.77594,0.279497,0.429618,-2.34574,-0.171894,2.60815,0.634534
0.775943,0.279498,0.429618,-2.34574,-0.171893,2.60814,0.634534
0.775941,0.279501,0.429615,-2.34574,-0.171894,2.60815,0.634539
0.775943,0.279497,0.429615,-2.34574,-0.171895,2.60815,0.634534
0.77594,0.279494,0.429615,-2.34574,-0.171894,2.60815,0.634539
0.775942,0.279501,0.429618,-2.34574,-0.171895,2.60815,0.634537
0.77594,0.279496,0.429621,-2.34574,-0.171896,2.60815,0.634538
0.775943,0.279499,0.429621,-2.34573,-0.171894,2.60815,0.634539
0.775941,0.279499,0.429616,-2.34574,-0.171895,2.60815,0.634534
0.775943,0.279496,0.429621,-2.34574,-0.171896,2.60815,0.634537
0.775946,0.279499,0.429623,-2.34574,-0.171895,2.60815,0.63454
0.775948,0.279494,0.429613,-2.34574,-0.171896,2.60815,0.634536
0.775941,0.279494,0.429623,-2.34574,-0.171892,2.60815,0.634543
0.77595,0.279499,0.429621,-2.34575,-0.171893,2.60815,0.634541
0.775948,0.279496,0.429621,-2.34574,-0.171895,2.60815,0.634538
0.775946,0.279494,0.429621,-2.34574,-0.171895,2.60815,0.634539
0.775948,0.279491,0.429621,-2.34574,-0.171896,2.60815,0.634542
0.775948,0.279494,0.429618,-2.34574,-0.171897,2.60815,0.63454
