j0,j1,j2,j3,j4,j5,j6
0.63827,0.419924,0.564771,-2.32954,-0.490295,2.63658,0.854464
0.63827,0.419921,0.564768,-2.32953,-0.490294,2.63658,0.854461
0.63827,0.419926,0.564768,-2.32953,-0.490293,2.63658,0.854462
0.638265,0.419926,0.564771,-2.32953,-0.490295,2.63658,0.854462
0.638268,0.419924,0.56477,-2.32953,-0.490297,2.63658,0.854465
0.638268,0.419926,0.564773,-2.32953,-0.490298,2.63658,0.85446
0.638273,0.419926,0.564771,-2.32953,-0.490298,2.63659,0.854463
0.638268,0.419926,0.564773,-2.32953,-0.490299,2.63658,0.854456
0.63827,0.419926,0.564771,-2.32953,-0.490299,2.63658,0.854463
0.638268,0.419929,0.564771,-2.32953,-0.490297,2.63658,0.85446
0.63827,0.419926,0.564771,-2.32953,-0.490296,2.63658,0.85446
0.63827,0.419929,0.56477,-2.32953,-0.490298,2.63658,0.854461
0.638268,0.419929,0.564771,-2.32953,-0.490301,2.63658,0.854457
0.63827,0.419932,0.56477,-2.32953,-0.490302,2.63658,0.854457
0.63827,0.419929,0.564773,-2.32953,-0.490304,2.63658,0.854458
0.63827,0.419929,0.564779,-2.32953,-0.490304,2.63659,0.854456
0.638275,0.419921,0.564773,-2.32953,-0.490301,2.63658,0.854458
0.638278,0.419926,0.564776,-2.32953,-0.490299,2.63658,0.854455
0.638274,0.419926,0.564776,-2.32953,-0.4903,2.63658,0.854457
0.638271,0.419926,0.564771,-2.32953,-0.490299,2.63658,0.854453
0.638278,0.419926,0.564779,-2.32953,-0.490301,2.63658,0.854458
0.638271,0.419926,0.564773,-2.32952,-0.490302,2.63658,0.854453
0.638273,0.419927,0.564773,-2.32952,-0.490299,2.63658,0.854453
0.638273,0.419927,0.564771,-2.32952,-0.490302,2.63658,0.854456
0.638276,0.419926,0.564773,-2.32952,-0.490303,2.63658,0.85445
0.638275,0.419929,0.564776,-2.32952,-0.490304,2.63658,0.854453
0.638281,0.419929,0.564771,-2.32951,-0.490304,2.63658,0.854447
0.638279,0.419929,0.564771,-2.32951,-0.490302,2.63658,0.854449
0.638276,0.419926,0.564776,-2.32951,-0.490304,2.63658,0.854449
0.638279,0.419926,0.564779,-2.32951,-0.490304,2.63658,0.854452
0.638282,0.419924,0.564781,-2.32951,-0.490301,2.63658,0.854448
0.638278,0.419929,0.564782,-2.32951,-0.490303,2.63658,0.854451
0.638279,0.419924,0.564776,-2.32951,-0.490299,2.63658,0.85445
0.638282,0.419926,0.564779,-2.32951,-0.490303,2.63658,0.854448
0.638279,0.419929,0.564779,-2.32951,-0.490304,2.63658,0.85445
0.638279,0.419929,0.564781,-2.32951,-0.490306,2.63658,0.854447
0.638283,0.419932,0.564779,-2.32951,-0.490306,2.63658,0.854442
0.638278,0.419926,0.564779,-2.32951,-0.490306,2.63658,0.85445
0.638284,0.419929,0.564781,-2.32951,-0.490306,2.63658,0.854446
0.638287,0.419929,0.564779,-2.3295,-0.490306,2.63658,0.854449
0.638282,0.419929,0.564781,-2.32951,-0.490306,2.63658,0.854447
0.638284,0.419929,0.564786,-2.3295,-0.490304,2.63657,0.854446
0.638279,0.419929,0.564781,-2.32951,-0.490307,2.63658,0.85445
0.638289,0.419924,0.564784,-2.3295,-0.490307,2.63657,0.854448
0.638287,0.419929,0.564779,-2.3295,-0.490305,2.63657,0.854445
0.63829,0.419926,0.564784,-2.3295,-0.490309,2.63657,0.854447
0.638287,0.419929,0.564779,-2.3295,-0.490308,2.63657,0.854447
0.638289,0.419926,0.564781,-2.3295,-0.490309,2.63657,0.854444
0.638285,0.419929,0.564789,-2.3295,-0.49031,2.63658,0.854446
0.638287,0.419932,0.564782,-2.3295,-0.490309,2.63657,0.854442
0.638286,0.419929,0.564784,-2.3295,-0.490307,2.63657,0.854449
0.638292,0.419929,0.564786,-2.3295,-0.49031,2.63657,0.854443
0.63829,0.419932,0.564784,-2.3295,-0.49031,2.63657,0.854447
0.638287,0.419929,0.56478,-2.3295,-0.490311,2.63657,0.854443
0.63829,0.419924,0.564789,-2.3295,-0.490311,2.63657,0.854444
0.638298,0.419929,0.564787,-2.3295,-0.490312,2.63657,0.854443
0.63829,0.419932,0.564787,-2.3295,-0.490311,2.63657,0.854447
0.638285,0.419929,0.564791,-2.3295,-0.490312,2.63657,0.854442
0.638292,0.419932,0.564787,-2.3295,-0.490312,2.63657,0.854444
0.638298,0.419929,0.564787,-2.3295,-0.490312,2.63657,0.854443
0.638298,0.419926,0.564787,-2.3295,-0.490311,2.63657,0.854447
0.638296,0.419931,0.564792,-2.3295,-0.490313,2.63657,0.854444
0.638298,0.419932,0.56479,-2.3295,-0.490312,2.63657,0.854444
0.638296,0.419932,0.564792,-2.3295,-0.490314,2.63657,0.854445
0.638301,0.419929,0.56479,-2.32951,-0.490314,2.63657,0.854446
0.638296,0.419924,0.564793,-2.32951,-0.490312,2.63657,0.854447
0.638296,0.419926,0.564791,-2.32951,-0.490313,2.63657,0.854444
0.638298,0.419926,0.564792,-2.32951,-0.490314,2.63657,0.854449
0.638299,0.419929,0.564795,-2.32951,-0.490313,2.63656,0.854443
0.638301,0.419929,0.564798,-2.32952,-0.490313,2.63656,0.854445
0.638301,0.419924,0.564798,-2.32951,-0.490314,2.63656,0.854443
0.638305,0.419929,0.564791,-2.32951,-0.490313,2.63656,0.854449
0.638301,0.419924,0.564792,-2.32951,-0.490314,2.63656,0.854443
0.638309,0.419926,0.564791,-2.32952,-0.490314,2.63656,0.854446
0.638315,0.419924,0.564792,-2.32952,-0.490314,2.63656,0.854449
0.638308,0.419926,0.564793,-2.32952,-0.490312,2.63656,0.854444
0.638309,0.419926,0.564787,-2.32952,-0.490312,2.63656,0.85445
0.638312,0.419926,0.564793,-2.32952,-0.490315,2.63656,0.854449
0.638313,0.419926,0.564795,-2.32952,-0.490312,2.63656,0.854448
0.638315,0.419929,0.564795,-2.32952,-0.490311,2.63656,0.85445
0.63832,0.419929,0.564793,-2.32953,-0.490311,2.63656,0.854449
0.638316,0.419926,0.564795,-2.32952,-0.490312,2.63656,0.854451
0.638316,0.419926,0.564799,-2.32952,-0.490311,2.63656,0.854448
0.638316,0.419926,0.564793,-2.32952,-0.490311,2.63656,0.854449
0.638323,0.419924,0.564798,-2.32953,-0.490311,2.63656,0.854449
0.638321,0.419929,0.564798,-2.32953,-0.490311,2.63656,0.854448
0.638322,0.419924,0.564796,-2.32953,-0.490312,2.63656,0.854452
0.638323,0.419926,0.564793,-2.32953,-0.490313,2.63656,0.854454
0.638324,0.419929,0.564796,-2.32953,-0.490311,2.63656,0.854454
0.638329,0.419929,0.564796,-2.32953,-0.490311,2.63656,0.854454
0.638322,0.419929,0.564799,-2.32953,-0.490312,2.63656,0.854452
0.638324,0.419929,0.564796,-2.32953,-0.490311,2.63656,0.854454
0.638328,0.419926,0.564793,-2.32954,-0.490308,2.63656,0.854457
0.638329,0.419929,0.564801,-2.32954,-0.49031,2.63656,0.854457
0.638325,0.419924,0.564793,-2.32954,-0.49031,2.63656,0.854449
0.638329,0.419929,0.564796,-2.32954,-0.490311,2.63656,0.854457
0.638327,0.419929,0.564796,-2.32954,-0.49031,2.63656,0.854452
0.638325,0.419931,0.564796,-2.32954,-0.490314,2.63656,0.854458
0.63833,0.419932,0.564795,-2.32954,-0.490308,2.63656,0.854454
0.638327,0.419927,0.564797,-2.32953,-0.490309,2.63656,0.854457
